"parameters","values","units","pv_cost_scenario","storage_cost_scenario","grid_cost_scenario","interest_rate_scenario","feed_in_scenario"
"Demand",844920,"kWh",1,0.5,1,1,1
"PV_costs",80.9772202212473,"Euro/kWp",1,0.5,1,1,1
"PV_capacity",603.938663688889,"kWp",1,0.5,1,1,1
"PV_energy",419319.366124709,"kWh",1,0.5,1,1,1
"ES_costs",37.088618321778,"Euro/kWh",1,0.5,1,1,1
"ES_capacity",23.5729613519988,"kWh",1,0.5,1,1,1
"ES_out",7683.7531871015,"kWh",1,0.5,1,1,1
"Grid_costs",0.17,"Euro/kWh",1,0.5,1,1,1
"Grid",417916.88068819,"kWh",1,0.5,1,1,1
"PV_sold",273439.541124368,"kWh",1,0.5,1,1,1
"Costs",107153.455396733,"Euro",1,0.5,1,1,1
"PV_area",4529.53997766667,"m2",1,0.5,1,1,1
"Emissions",52.61991444745,"tons",1,0.5,1,1,1
"Demand",844920,"kWh",1,0.51,1,1,1
"PV_costs",80.9772202212473,"Euro/kWp",1,0.51,1,1,1
"PV_capacity",600.085055172576,"kWp",1,0.51,1,1,1
"PV_energy",418596.213705903,"kWh",1,0.51,1,1,1
"ES_costs",37.8303906882136,"Euro/kWh",1,0.51,1,1,1
"ES_capacity",17.1273003463448,"kWh",1,0.51,1,1,1
"ES_out",5610.49378455705,"kWh",1,0.51,1,1,1
"Grid_costs",0.17,"Euro/kWh",1,0.51,1,1,1
"Grid",420713.29250954,"kWh",1,0.51,1,1,1
"PV_sold",271873.110726876,"kWh",1,0.51,1,1,1
"Costs",107168.756318004,"Euro",1,0.51,1,1,1
"PV_area",4500.63791379432,"m2",1,0.51,1,1,1
"Emissions",52.9720106598761,"tons",1,0.51,1,1,1
"Demand",844920,"kWh",1,0.52,1,1,1
"PV_costs",80.9772202212473,"Euro/kWp",1,0.52,1,1,1
"PV_capacity",593.579393952715,"kWp",1,0.52,1,1,1
"PV_energy",417365.261690457,"kWh",1,0.52,1,1,1
"ES_costs",38.5721630546492,"Euro/kWh",1,0.52,1,1,1
"ES_capacity",4.61834447464913,"kWh",1,0.52,1,1,1
"ES_out",1543.63567172929,"kWh",1,0.52,1,1,1
"Grid_costs",0.17,"Euro/kWh",1,0.52,1,1,1
"Grid",426011.102637814,"kWh",1,0.52,1,1,1
"PV_sold",269835.402017341,"kWh",1,0.52,1,1,1
"Costs",107174.666186584,"Euro",1,0.52,1,1,1
"PV_area",4451.84545464536,"m2",1,0.52,1,1,1
"Emissions",53.6390579331271,"tons",1,0.52,1,1,1
"Demand",844920,"kWh",1,0.53,1,1,1
"PV_costs",80.9772202212473,"Euro/kWp",1,0.53,1,1,1
"PV_capacity",590.824834743748,"kWp",1,0.53,1,1,1
"PV_energy",416840.573762165,"kWh",1,0.53,1,1,1
"ES_costs",39.3139354210847,"Euro/kWh",1,0.53,1,1,1
"ES_capacity",2.53598131456085,"kWh",1,0.53,1,1,1
"ES_out",851.846462993234,"kWh",1,0.53,1,1,1
"Grid_costs",0.17,"Euro/kWh",1,0.53,1,1,1
"Grid",427227.579774842,"kWh",1,0.53,1,1,1
"PV_sold",267891.731477518,"kWh",1,0.53,1,1,1
"Costs",107177.154148703,"Euro",1,0.53,1,1,1
"PV_area",4431.18626057811,"m2",1,0.53,1,1,1
"Emissions",53.7922245694503,"tons",1,0.53,1,1,1
"Demand",844920,"kWh",1,0.54,1,1,1
"PV_costs",80.9772202212473,"Euro/kWp",1,0.54,1,1,1
"PV_capacity",590.318345299817,"kWp",1,0.54,1,1,1
"PV_energy",416743.763768137,"kWh",1,0.54,1,1,1
"ES_costs",40.0557077875203,"Euro/kWh",1,0.54,1,1,1
"ES_capacity",0,"kWh",1,0.54,1,1,1
"ES_out",0,"kWh",1,0.54,1,1,1
"Grid_costs",0.17,"Euro/kWh",1,0.54,1,1,1
"Grid",428176.236231863,"kWh",1,0.54,1,1,1
"PV_sold",268297.460877614,"kWh",1,0.54,1,1,1
"Costs",107177.425763522,"Euro",1,0.54,1,1,1
"PV_area",4427.38758974863,"m2",1,0.54,1,1,1
"Emissions",53.9116699039539,"tons",1,0.54,1,1,1
"Demand",844920,"kWh",1,0.55,1,1,1
"PV_costs",80.9772202212473,"Euro/kWp",1,0.55,1,1,1
"PV_capacity",590.318345299817,"kWp",1,0.55,1,1,1
"PV_energy",416743.763768137,"kWh",1,0.55,1,1,1
"ES_costs",40.7974801539558,"Euro/kWh",1,0.55,1,1,1
"ES_capacity",0,"kWh",1,0.55,1,1,1
"ES_out",0,"kWh",1,0.55,1,1,1
"Grid_costs",0.17,"Euro/kWh",1,0.55,1,1,1
"Grid",428176.236231863,"kWh",1,0.55,1,1,1
"PV_sold",268297.460877614,"kWh",1,0.55,1,1,1
"Costs",107177.425763522,"Euro",1,0.55,1,1,1
"PV_area",4427.38758974863,"m2",1,0.55,1,1,1
"Emissions",53.9116699039539,"tons",1,0.55,1,1,1
"Demand",844920,"kWh",1,0.56,1,1,1
"PV_costs",80.9772202212473,"Euro/kWp",1,0.56,1,1,1
"PV_capacity",590.318345299817,"kWp",1,0.56,1,1,1
"PV_energy",416743.763768137,"kWh",1,0.56,1,1,1
"ES_costs",41.5392525203914,"Euro/kWh",1,0.56,1,1,1
"ES_capacity",0,"kWh",1,0.56,1,1,1
"ES_out",0,"kWh",1,0.56,1,1,1
"Grid_costs",0.17,"Euro/kWh",1,0.56,1,1,1
"Grid",428176.236231863,"kWh",1,0.56,1,1,1
"PV_sold",268297.460877614,"kWh",1,0.56,1,1,1
"Costs",107177.425763522,"Euro",1,0.56,1,1,1
"PV_area",4427.38758974863,"m2",1,0.56,1,1,1
"Emissions",53.9116699039539,"tons",1,0.56,1,1,1
"Demand",844920,"kWh",1,0.57,1,1,1
"PV_costs",80.9772202212473,"Euro/kWp",1,0.57,1,1,1
"PV_capacity",590.318345299817,"kWp",1,0.57,1,1,1
"PV_energy",416743.763768137,"kWh",1,0.57,1,1,1
"ES_costs",42.281024886827,"Euro/kWh",1,0.57,1,1,1
"ES_capacity",0,"kWh",1,0.57,1,1,1
"ES_out",0,"kWh",1,0.57,1,1,1
"Grid_costs",0.17,"Euro/kWh",1,0.57,1,1,1
"Grid",428176.236231863,"kWh",1,0.57,1,1,1
"PV_sold",268297.460877614,"kWh",1,0.57,1,1,1
"Costs",107177.425763522,"Euro",1,0.57,1,1,1
"PV_area",4427.38758974863,"m2",1,0.57,1,1,1
"Emissions",53.9116699039539,"tons",1,0.57,1,1,1
"Demand",844920,"kWh",1,0.58,1,1,1
"PV_costs",80.9772202212473,"Euro/kWp",1,0.58,1,1,1
"PV_capacity",590.318345299817,"kWp",1,0.58,1,1,1
"PV_energy",416743.763768137,"kWh",1,0.58,1,1,1
"ES_costs",43.0227972532625,"Euro/kWh",1,0.58,1,1,1
"ES_capacity",0,"kWh",1,0.58,1,1,1
"ES_out",0,"kWh",1,0.58,1,1,1
"Grid_costs",0.17,"Euro/kWh",1,0.58,1,1,1
"Grid",428176.236231863,"kWh",1,0.58,1,1,1
"PV_sold",268297.460877614,"kWh",1,0.58,1,1,1
"Costs",107177.425763522,"Euro",1,0.58,1,1,1
"PV_area",4427.38758974863,"m2",1,0.58,1,1,1
"Emissions",53.9116699039539,"tons",1,0.58,1,1,1
"Demand",844920,"kWh",1,0.59,1,1,1
"PV_costs",80.9772202212473,"Euro/kWp",1,0.59,1,1,1
"PV_capacity",590.318345299817,"kWp",1,0.59,1,1,1
"PV_energy",416743.763768137,"kWh",1,0.59,1,1,1
"ES_costs",43.7645696196981,"Euro/kWh",1,0.59,1,1,1
"ES_capacity",0,"kWh",1,0.59,1,1,1
"ES_out",0,"kWh",1,0.59,1,1,1
"Grid_costs",0.17,"Euro/kWh",1,0.59,1,1,1
"Grid",428176.236231863,"kWh",1,0.59,1,1,1
"PV_sold",268297.460877614,"kWh",1,0.59,1,1,1
"Costs",107177.425763522,"Euro",1,0.59,1,1,1
"PV_area",4427.38758974863,"m2",1,0.59,1,1,1
"Emissions",53.9116699039539,"tons",1,0.59,1,1,1
"Demand",844920,"kWh",1,0.6,1,1,1
